static.supervisedId,static.name,geolocation.streetNumber,geolocation.route,geolocation.postalCode,geolocation.city,geolocation.coordinates.0,geolocation.coordinates.1
FR*SOD*P*BELI*32*_*_*_,RUE MONGE,55,RUE MONGE,75005,Paris,0.0,0.0
FR*SOD*P*BELI*31*_*_*_,RUE SAINT JACQUES,32,RUE SAINT JACQUES,75005,Paris,2.345493,48.85104
FR*SOD*P*BELI*30*_*_*_,PLACE DU PANTHEON,17,PLACE DU PANTHEON,75005,Paris,2.345032,48.845715
FR*SOD*P*BELI*37*_*_*_,RUE DU BAC,35,RUE DU BAC,75007,Paris,2.327753,48.857124
FR*SOD*P*BELI*36*_*_*_,AVENUE BOSQUET,47,AV BOSQUET,75007,Paris,2.30437,48.857552
FR*SOD*P*BELI*35*_*_*_,AVENUE DE SAXE,10,AV DE SAXE,75007,Paris,2.307126,48.849911
FR*SOD*P*BELI*28*_*_*_,RUE DE REAUMUR,5,RUE DE REAUMUR,75003,Paris,2.359043,48.864719
FR*SOD*P*BELI*54*_*_*_,BD DE GRENELLE,70,BD DE GRENELLE,75015,Paris,,
FR*SOD*P*BELI*51*_*_*_,BD EDGARD QUINET,9,BD EDGARD QUINET,75014,Paris,2.323891,48.841198
FR*SOD*P*BELI*50*_*_*_,AVENUE DU MAINE,173,AV DU MAINE,75014,Paris,2.325895,48.83086
FR*SOD*P*BELI*58*_*_*_,RUE DE COURCELLES,83,RUE DE COURCELLES,75017,Paris,2.302442,48.879654
FR*SOD*P*BELI*57*_*_*_,AVENUE GOURGAUD,4,AV GOURGAUD,75017,Paris,2.297463,48.885689
FR*SOD*P*BELI*43*_*_*_,BD MALESHERBES,73,BD MALESHERBES,75008,Paris,,
FR*SOD*P*BELI*44*_*_*_,PARVIS DE LA GARE DE L'EST,1,PARVIS DE LA GARE DE L'EST,75010,Paris,0.0,0.0
FR*SOD*P*BELI*39*_*_*_,AVENUE DE VILLARS,9,AVENUE DE VILLARS,75007,Paris,2.31368,48.852665
FR*SOD*P*BELI*40*_*_*_,RUE DE PERIGNON,2,RUE DE PERIGNON,75007,Paris,0.0,0.0
FR*SOD*P*BELI*48*_*_*_,BD VINCENT AURIOL,137,BD VINCENT AURIOL,75013,Paris,2.363025,48.832893
FR*SOD*P*BELI*46*_*_*_,COURS DE VINCENNES,24,COURS DE VINCENNES,75012,Paris,,
FR*SOD*P*BELI*61*_*_*_,A supprimer 14 RUE DE CRIMEE,14,Rue de Crimée,75019,Paris,,
FR*SOD*P*BELI*7*_*_*_,BOULEVARD VOLTAIRE,206,Boulevard Voltaire,75011,Paris,2.3868801999999505,48.8534452
FR*SOD*P*BELI*2*_*_*_,RUE LA FAYETTE,137,RUE LA FAYETTE,75010,Paris,2.355064,48.878897
FR*SOD*P*BELI*5*_*_*_,AV DUTUIT,3,AV DUTUIT,75008,Paris,2.315463,48.865501
FR*SOD*P*BELI*8*_*_*_,AVENUE DE FLANDRE,10,Avenue de Flandre,75019,Paris,2.3699612000000343,48.8847205
FR*SOD*P*BELI*20*_*_*_,81 RUE DE ROME,81,RUE DE ROME,75017,Paris,2.319768,48.882718
FR*SOD*P*BELI*10*_*_*_,AVENUE DU PÈRE LACHAISE,13,Avenue du Père Lachaise,75020,Paris,2.3971645999999964,48.8644177
FR*SOD*P*BELI*17*_*_*_,RUE CHANGARNIER,4,Rue Changarnier,75012,Paris,2.4112383000000364,48.8452653
FR*SOD*P*BELI*14*_*_*_,BOULEVARD DE VAUGIRARD,43,BOULEVARD DE VAUGIRARD,75000,Paris,2.317465,48.840977
FR*SOD*P*BELI*15*_*_*_,RUE ABEL,2,Rue Abel,75012,Paris,2.3748774000000594,48.846295
FR*SOD*P*BELI*21*_*_*_,RUE DE TOLBIAC,145,Rue de Tolbiac,75013,Paris,2.3581455999999434,48.8260387
FR*SOD*P*BELI*24*_*_*_,RUE VILLIOT,20,RUE VILLIOT,75000,Paris,2.375639,48.841742
FR*SOD*P*BELI*12*_*_*_,AVENUE REILLE,46,Avenue Reille,75014,Paris,2.3368675000000394,48.8244307
FR*SOD*P*BELI*33*_*_*_,RUE DANTON,9,Rue Danton,75006,Paris,2.3410702999999558,48.8521452
FR*SOD*P*BELI*29*_*_*_,QUAI DU MARCHE NEUF,4,QUAI DU MARCHE NEUF,75004,Paris,2.34556,48.854057
FR*SOD*P*BELI*38*_*_*_,RUE PERIGNON,2,RUE PERIGNON,75007,Paris,2.309952,48.847931
FR*SOD*P*BELI*34*_*_*_,RUE DE RENNES ancien num 84,66,RUE DE RENNES ancien num 84,75006,Paris,0.0,0.0
FR*SOD*P*BELI*26*_*_*_,RUE ETIENNE MARCEL,44,RUE ETIENNE MARCEL,75001,Paris,2.343436,48.865311
FR*SOD*P*BELI*27*_*_*_,RUE DE L'AMIRAL DE COLIGNY,1,RUE DE L'AMIRAL DE COLIGNY,75001,Paris,0.0,0.0
FR*SOD*P*BELI*53*_*_*_,RUE DESNOUETTES,55,RUE DESNOUETTES,75015,Paris,2.286912,48.835709
FR*SOD*P*BELI*52*_*_*_,RUE FABERT,22,RUE FABERT,75015,Paris,2.31176,48.862022
FR*SOD*P*BELI*60*_*_*_,AVENUE GAMBETTA,227,AVENUE GAMBETTA,75020,Paris,2.405196,48.874134
FR*SOD*P*BELI*59*_*_*_,AVENUE DE LA PORTE DE VILLIERS,2,AV DE LA PORTE DE VILLIERS,75017,Paris,2.286938,48.883282
FR*SOD*P*BELI*56*_*_*_,RUE ANTONIN MERCIE,2,RUE ANTONIN MERCIE,75015,Paris,2.30038,48.828506
