_id;stationSupervisedRef;chargePointSupervisedRef;plugSupervisedRef;startDate;startingMediumCode;stopDate;stopReason;stoppingMediumCode
592dead3e4b0432d19c406ac;FR*SOD*S*BELI*24*1*_*_;FR*SOD*E*BELI*24*1*3*_;FR*SOD*X*BELI*24*1*3*3;1496181421;47f717aaa4880;1496181485;End Of Charge;
592dea62e4b0432d19c4053d;FR*SOD*S*BELI*24*1*_*_;FR*SOD*E*BELI*24*1*3*_;FR*SOD*X*BELI*24*1*3*3;1496181327;47f717aaa4880;1496181375;End Of Charge;
592de927e4b0432d19c401e3;FR*SOD*S*BELI*47*1*_*_;FR*SOD*E*BELI*47*1*3*_;FR*SOD*X*BELI*47*1*3*2;1496181004;4a30a9aab4880;1496183827;Badge;4a30a9aab4880
592de877e4b0432d19c3ff00;FR*SOD*S*BELI*22*1*_*_;FR*SOD*E*BELI*22*1*1*_;FR*SOD*X*BELI*22*1*1*4;1496180848;40e92d21a4e81;1496183780;Badge;40e92d21a4e81
592de2e6e4b0432d19c3ee0f;FR*SOD*S*BELI*22*1*_*_;FR*SOD*E*BELI*22*1*2*_;FR*SOD*X*BELI*22*1*2*1;1496179404;4fef89aab4880;1496209419;Badge;4fef89aab4880
592de29ce4b0432d19c3ed05;FR*SOD*S*BELI*22*1*_*_;FR*SOD*E*BELI*22*1*2*_;FR*SOD*X*BELI*22*1*2*1;1496179317;4fef89aab4880;1496179398;Badge;4fef89aab4880
592ddc46e4b0432d19c3db3d;FR*SOD*S*BELI*53*1*_*_;FR*SOD*E*BELI*53*1*3*_;FR*SOD*X*BELI*53*1*3*5;1496177693;4be87821d4e80;1496179450;Cable Unlock;
592ddb73e4b0432d19c3d862;FR*SOD*S*BELI*30*1*_*_;FR*SOD*E*BELI*30*1*2*_;FR*SOD*X*BELI*30*1*2*1;1496177494;42c507aaa4880;1496200665;Badge;42c507aaa4880
592dda7ae4b0432d19c3d608;FR*SOD*S*BELI*13*1*_*_;FR*SOD*E*BELI*13*1*3*_;FR*SOD*X*BELI*13*1*3*3;1496177239;4d3f6821d4e80;1496180918;End Of Charge;
592dd664e4b0432d19c3c8f4;FR*SOD*S*BELI*22*1*_*_;FR*SOD*E*BELI*22*1*3*_;FR*SOD*X*BELI*22*1*3*4;1496176152;4aadfd21a4e80;1496176392;Badge;4aadfd21a4e80
592dd2fae4b0432d19c3bfbd;FR*SOD*S*BELI*57*1*_*_;FR*SOD*E*BELI*57*1*2*_;FR*SOD*X*BELI*57*1*2*1;1496175233;41989821d4e80;1496205244;Badge;41989821d4e80
592dd07de4b0432d19c3b81a;FR*SOD*S*BELI*11*1*_*_;FR*SOD*E*BELI*11*1*2*_;FR*SOD*X*BELI*11*1*2*1;1496174701;439ce821d4e80;1496210158;Badge;439ce821d4e80
592dcefce4b0432d19c3b372;FR*SOD*S*BELI*9*1*_*_;FR*SOD*E*BELI*9*1*1*_;FR*SOD*X*BELI*9*1*1*3;1496174176;4d3f6821d4e80;1496174316;;
592e6fd0e4b0432d19c59f96;FR*SOD*S*BELI*9*1*_*_;FR*SOD*E*BELI*9*1*1*_;FR*SOD*X*BELI*9*1*1*3;1496174176;4d3f6821d4e80;1496174316;;
592dcbb7e4b0432d19c3a8e2;FR*SOD*S*BELI*22*1*_*_;FR*SOD*E*BELI*22*1*3*_;FR*SOD*X*BELI*22*1*3*4;1496173466;4c8c4821d4e80;1496174291;Badge;4c8c4821d4e80
592dcb9ce4b0432d19c3a88e;FR*SOD*S*BELI*8*1*_*_;FR*SOD*E*BELI*8*1*3*_;FR*SOD*X*BELI*8*1*3*6;1496173421;465b1921d4e80;1496175171;Badge;465b1921d4e80
592dcaeee4b0432d19c3a6f6;FR*SOD*S*BELI*16*1*_*_;FR*SOD*E*BELI*16*1*2*_;FR*SOD*X*BELI*16*1*2*1;1496173270;4e095d21a4e80;1496180862;Badge;4e095d21a4e80
592dca6fe4b0432d19c3a4fb;FR*SOD*S*BELI*8*1*_*_;FR*SOD*E*BELI*8*1*1*_;FR*SOD*X*BELI*8*1*1*4;1496173113;465b1921d4e80;1496173321;End Of Charge;
592dc46be4b0432d19c392fc;FR*SOD*S*BELI*9*1*_*_;FR*SOD*E*BELI*9*1*3*_;FR*SOD*X*BELI*9*1*3*1;1496171610;47cc19aab4880;1496175839;;
592e6face4b0432d19c59edc;FR*SOD*S*BELI*9*1*_*_;FR*SOD*E*BELI*9*1*3*_;FR*SOD*X*BELI*9*1*3*1;1496171610;47cc19aab4880;1496175839;;
592dc3fae4b0432d19c3922a;FR*SOD*S*BELI*57*1*_*_;FR*SOD*E*BELI*57*1*2*_;FR*SOD*X*BELI*57*1*2*1;1496171496;458d5d21a4e80;1496172866;Badge;458d5d21a4e80
592dc374e4b0432d19c39176;FR*SOD*S*BELI*49*1*_*_;FR*SOD*E*BELI*49*1*3*_;FR*SOD*X*BELI*49*1*3*2;1496171362;477d7821d4e80;1496174880;Badge;477d7821d4e80
592dc365e4b0432d19c3914c;FR*SOD*S*BELI*49*1*_*_;FR*SOD*E*BELI*49*1*2*_;FR*SOD*X*BELI*49*1*2*1;1496171281;4f2c4821d4e80;1496210348;Badge;4f2c4821d4e80
592dc1b9e4b0432d19c38c68;FR*SOD*S*BELI*57*1*_*_;FR*SOD*E*BELI*57*1*3*_;FR*SOD*X*BELI*57*1*3*4;1496170923;41989821d4e80;1496172185;End Of Charge;
592dc150e4b0432d19c38acc;FR*SOD*S*BELI*57*1*_*_;FR*SOD*E*BELI*57*1*3*_;FR*SOD*X*BELI*57*1*3*4;1496170808;41989821d4e80;1496170850;End Of Charge;
592dc097e4b0432d19c388c5;FR*SOD*S*BELI*49*1*_*_;FR*SOD*E*BELI*49*1*3*_;FR*SOD*X*BELI*49*1*3*2;1496170545;477d7821d4e80;1496171159;Cable Unlock;
592dc037e4b0432d19c3877b;FR*SOD*S*BELI*59*1*_*_;FR*SOD*E*BELI*59*1*1*_;FR*SOD*X*BELI*59*1*1*5;1496170544;4c297d21a4e80;1496179534;Badge;4c297d21a4e80
592dbf77e4b0432d19c384bb;FR*SOD*S*BELI*22*1*_*_;FR*SOD*E*BELI*22*1*2*_;FR*SOD*X*BELI*22*1*2*1;1496170336;41eb2921d4e81;1496179270;Badge;41eb2921d4e81
592dbf5be4b0432d19c3847b;FR*SOD*S*BELI*1*1*_*_;FR*SOD*E*BELI*1*1*2*_;FR*SOD*X*BELI*1*1*2*1;1496170301;45256921d4e80;1496177857;Badge;45256921d4e80
592dbd97e4b0432d19c37ec4;FR*SOD*S*BELI*5*1*_*_;FR*SOD*E*BELI*5*1*2*_;FR*SOD*X*BELI*5*1*2*1;1496169856;4af91821d4e80;1496184563;Badge;4af91821d4e80
592db9cfe4b0432d19c372d2;FR*SOD*S*BELI*42*1*_*_;FR*SOD*E*BELI*42*1*2*_;FR*SOD*X*BELI*42*1*2*1;1496168894;431b07aaa4880;1496173038;Badge;431b07aaa4880
592db97be4b0432d19c371ab;FR*SOD*S*BELI*3*1*_*_;FR*SOD*E*BELI*3*1*1*_;FR*SOD*X*BELI*3*1*1*6;1496168773;4b93d9aab4880;1496171955;End Of Charge;
592db91fe4b0432d19c36fbe;FR*SOD*S*BELI*49*1*_*_;FR*SOD*E*BELI*49*1*3*_;FR*SOD*X*BELI*49*1*3*2;1496168715;4d04a9aab4880;1496169476;Badge;4d04a9aab4880
