city;postal_code;medias_comma_separated;
GRASSE;6130;4c04f12aa4880,4ccfa821d4e80;
Paris;75008;4d1ba821d4e80;
Paris;75018;4423512aa4880;
Fleury les Aubrais;45400;4563612aa4880;
Donneville;31450;4b55a12aa4880;
saint alban;31140;4c40e12aa4880;
Nancy;54000;4c05a12aa4880;
Bennecourt;78270;49a1112aa4880,4ac0e12aa4880;
DOMONT CEDEX;95331;4502612aa4880,4ab2d7aaa4880;
COURBEVOIE;92400;4137312aa4880;
st julien molin molette;42220;49b1112aa4880;
magny le hongre;77700;4771112aa4880;
Montpellier;34000;4990e12aa4880;
MONTPELLIER;34090;4661012aa4880;
Versailles;78000;4a54012aa4880;
MAULE;78580;47f1012aa4880;
Saint Cyr sur Loire;37540;4901112aa4880;
VALENCE;26000;49d5a12aa4880;
CALMONT;31560;4efaa12aa4880;
COURBEVOIE;92400;4f75a12aa4880;
NOISY LE GRAND;93160;4f35312aa4880;
MULHOUSE;68100;4843512aa4880;
PLOEMEUR;56270;40e7212aa4880;
Iville;27110;4503612aa4880,4a1013a982f90;
Cologne (Allemagne);51065;4bdb722982f80;
NEUILLY SUR SEINE;92200;4d5fc3a982f80;
FLEURY LES AUBRAIS;45400;40241f23e3e81;
LES MUREAUX;78130;4974c32982f80,4d92432982f80,4c9257aaa4880;
LE CHESNAY;78150;4a3fc3a982f80,4f30c3a982f90,41ebb22982f81,4c8153a982f90;
ST MAUR DES FOSSES;94100;4e2033a982f90;
LONS LE SAUNIER;39000;4cf183a982f90;
VIF;38450;45e2612aa4880;
Tours;37100;4ae113a982f90;
MEYLAN;38240;4dd0f3a982f90;
DOUVILLE;24140;4d02832982f80;
MONTIGNY LE BRETONNEUX;78180;47f4f12aa4880;
ADAINVILLE;78113;4ad1c32982f80;
VERNEUIL SUR SEINE;78480;4913512aa4880;
PERPIGNAN;66000;4962c32982f80,4098e821d4e80,4d6c3821d4e80;
BOUT DU PONT DE LARN;81660;462b722982f80;
PARIS 19EME ARRONDISSEMENT;75019;4721c32982f80;
SEGRE;49500;4741112aa4880;
saint denis;93200;4cc0e32982f80;
;;48f3d9aab4880,4d5039aab4884,480f69aab4880,409989aab4881,44db722982f80,44423f23e3e80;
PARIS 8EME ARRONDISSEMENT;75008;461ec9aab4880;
paris;75004;448e09aab4880;
PARIS 8 emeARRONDISSEMENT;75008;4eb8f821d4e80;
VILLENEUVE ST GEORGES CEDEX;94194;4d8d5821d4e80,4c990821d4e80;
ST OUEN L AUMONE;95310;49e637aaa4880;
HERBLAY;95220;455b27aaa4880;
Paris;75011;4ba8a821d4e80;
PARIS 16EME ARRONDISSEMENT;75016;4c0bf7aaa4880;
ROMORANTIN LANTHENAY;41200;444aa821d4e80;
BOULOGNE BILLANCOURT;92100;4bdc3821d4e80;
VELIZY VILLACOUBLAY;78140;4c92932982f80;
BOUVILLE;91880;4cde69aab4880;
BOIS COLOMBES;92270;4b3589aab4880;
Paris;75007;4984a9aab4880;
Nozay;91620;44e2732982f80;
ISSY LES MOULINEAUX;92130;4e441f23e3e80,4b23d9aab4880;
PARIS 17EME ARRONDISSEMENT;75017;424e09aab4880,4ed8d821d4e80;
PARIS 17EME ARRONDISSEMENT;75017;4f5f99aab4880;
VILLEJUIF;94800;4fde69aab4880;
NANTEY;39160;4ac2b32982f80;
Paris;75116;44423f23e3e80,44fb7f23e3e80,44d707aaa4880,4e8b822982f80,461b17aaa4880;
PARIS 17EME ARRONDISSEMENT;75017;4c4f99aab4880,4d1bb9aab4880,4b7b87aaa4880,4f7b57aaa4880;
HERBLAY;95220;4d4f99aab4880;
Paris;75010;4588e9aab4880;
PARIS 15EME ARRONDISSEMENT;75015;479809aab4880;
Le Mesnil-le-Roi;78600;4c50a9aab4880,4eb039aab4884;
PARIS;75116;44b809aab4880;
PARIS 15EME ARRONDISSEMENT;75015;418bb9aab4881,4a5c4d21a4e80;
FLEURY LES AUBRAIS;45400;4a83d9aab4880,456c99aab4880;
PARIS 15EME ARRONDISSEMENT;75015;47ff69aab4880,44c3f7aaa4880,4c2127aaa4880,4964a9aab4880,466d47aaa4880;
DAX;40100;4bf0a3a982f90;
RUEIL MALMAISON;92500;451f69aab4880;
;75018;48e3d9aab4880;
BIEVRES;91570;4e7f99aab4880;
EVRY GREGY SUR YERRE;77166;4ff989aab4880;
LEVALLOIS PERRET;92300;405919aab4881;
Saint Sébastien de Morsent;27180;4da4a9aab4880;
PLOEMEUR;56270;4b14a9aab4880;
PARIS 12EME ARRONDISSEMENT;75012;4cd083a982f90,45c809aab4880;
PARIS 11EME ARRONDISSEMENT;75011;440f79aab4880;
Rennes;35200;4994a9aab4880;
MORET SUR LOING;77250;426e09aab4880;
Montigny-le-Bretonneux;78180;472f69aab4880;
CHAILLY EN GATINAIS;45260;4d34a9aab4880;
BOULOGNE BILLANCOURT;92100;448f79aab4880;
LE PECQ;78230;443e09aab4880;
FLEURY LES AUBRAIS;45400;4f1e69aab4880;
PONTAULT COMBAULT;77340;49d0a9aab4880;
LEVALLOIS PERRET;92300;4ccbb9aab4880;
NOGENT LE ROI;28210;43af69aab4880;
BEAUCHAMP;95250;4b9039aab4884;
BUSSY ST GEORGES;77600;488f69aab4880;
PARIS 11EME ARRONDISSEMENT;75011;43ef89aab4880;
PARIS 8EME ARRONDISSEMENT;75008;459f89aab4880;
