"Parc";"Site";"Station";"Borne";"Type de prise";"Prise de courant";"Fabricant";"Date de début";"Jour de début";"Mois de début";"Année de début";"Heure de début ";"Minute de Début";"Date de fin";"Jour de fin";"Mois de fin";"Année de fin";"Heure de fin";"Minute de fin";"Durée (sec)";"L'énergie (Wh)";"Nom du client";"Nom du badge";"UUID Badge";"Roaming"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"TE";"21";"Lafon Technologies";"Fri Apr 14 2017 00:49:24 GMT+0200 (CEST)";"14";"4";"2017";"0";"49";"Fri Apr 14 2017 06:47:16 GMT+0200 (CEST)";"14";"4";"2017";"6";"47";"21472";"13830";"";"";"04D1C3821D4E80";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"CCS";"31";"Lafon Technologies";"Wed Apr 19 2017 13:51:25 GMT+0200 (CEST)";"19";"4";"2017";"13";"51";"Wed Apr 19 2017 15:33:50 GMT+0200 (CEST)";"19";"4";"2017";"15";"33";"6145";"26439";"";"";"043A837AAA4880";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"TE";"35";"Lafon Technologies";"Sun Apr 09 2017 22:21:30 GMT+0200 (CEST)";"9";"4";"2017";"22";"21";"Mon Apr 10 2017 12:28:29 GMT+0200 (CEST)";"10";"4";"2017";"12";"28";"50819";"28072";"";"";"04EDAB821D4E80";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"TE";"35";"Lafon Technologies";"Wed Apr 05 2017 19:12:34 GMT+0200 (CEST)";"5";"4";"2017";"19";"12";"Wed Apr 05 2017 22:45:18 GMT+0200 (CEST)";"5";"4";"2017";"22";"45";"12764";"4135";"";"";"04438CD21A4E80";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"TE";"35";"Lafon Technologies";"Tue Apr 04 2017 21:59:04 GMT+0200 (CEST)";"4";"4";"2017";"21";"59";"Wed Apr 05 2017 06:28:13 GMT+0200 (CEST)";"5";"4";"2017";"6";"28";"30549";"10161";"";"";"04C4F99AAB4880";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"T3";"34";"Lafon Technologies";"Tue Apr 25 2017 15:03:00 GMT+0200 (CEST)";"25";"4";"2017";"15";"3";"Tue Apr 25 2017 15:43:45 GMT+0200 (CEST)";"25";"4";"2017";"15";"43";"2445";"12448";"";"";"0457D5821D4E80";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"T3";"34";"Lafon Technologies";"Fri Apr 21 2017 12:20:04 GMT+0200 (CEST)";"21";"4";"2017";"12";"20";"Fri Apr 21 2017 13:15:09 GMT+0200 (CEST)";"21";"4";"2017";"13";"15";"3305";"3258";"";"";"04D3D6821D4E80";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"T3";"34";"Lafon Technologies";"Mon Apr 17 2017 14:47:02 GMT+0200 (CEST)";"17";"4";"2017";"14";"47";"Mon Apr 17 2017 15:20:44 GMT+0200 (CEST)";"17";"4";"2017";"15";"20";"2022";"7748";"";"";"0457D5821D4E80";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"T3";"34";"Lafon Technologies";"Fri Apr 07 2017 14:08:55 GMT+0200 (CEST)";"7";"4";"2017";"14";"8";"Fri Apr 07 2017 15:09:21 GMT+0200 (CEST)";"7";"4";"2017";"15";"9";"3626";"3633";"";"";"04D3D6821D4E80";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"T3";"34";"Lafon Technologies";"Fri Apr 07 2017 12:58:17 GMT+0200 (CEST)";"7";"4";"2017";"12";"58";"Fri Apr 07 2017 14:08:37 GMT+0200 (CEST)";"7";"4";"2017";"14";"8";"4220";"4241";"";"";"04D3D6821D4E80";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"T3";"34";"Lafon Technologies";"Thu Apr 06 2017 14:46:35 GMT+0200 (CEST)";"6";"4";"2017";"14";"46";"Thu Apr 06 2017 15:49:19 GMT+0200 (CEST)";"6";"4";"2017";"15";"49";"3764";"5728";"";"";"04D8D5821D4E80";"UNKNOWN"
"VDP";"";"72 RUE DE ROME";"72 RUE DE ROME-1";"T3";"34";"Lafon Technologies";"Thu Apr 06 2017 13:32:21 GMT+0200 (CEST)";"6";"4";"2017";"13";"32";"Thu Apr 06 2017 14:44:50 GMT+0200 (CEST)";"6";"4";"2017";"14";"44";"4349";"20127";"";"";"04D8D5821D4E80";"UNKNOWN"
