"Parc";"Site";"Station";"Borne";"Type de prise";"Prise de courant";"Fabricant";"Date de début";"Jour de début";"Mois de début";"Année de début";"Heure de début ";"Minute de Début";"Date de fin";"Jour de fin";"Mois de fin";"Année de fin";"Heure de fin";"Minute de fin";"Durée (sec)";"L'énergie (Wh)";"Nom du client";"Nom du badge";"UUID Badge";"Roaming"
"VDP";"";"81 RUE DE ROME";"81 RUE DE ROME-0";"CHAdeMO";"32";"Lafon Technologies";"Mon May 08 2017 04:45:50 GMT+0200 (CEST)";"8";"5";"2017";"4";"45";"Mon May 08 2017 05:06:49 GMT+0200 (CEST)";"8";"5";"2017";"5";"6";"1259";"6300";"";"";"04D3F6821D4E80";"UNKNOWN"
"VDP";"";"81 RUE DE ROME";"81 RUE DE ROME-0";"CCS";"11";"Lafon Technologies";"Fri May 19 2017 09:34:51 GMT+0200 (CEST)";"19";"5";"2017";"9";"34";"Fri May 19 2017 09:56:27 GMT+0200 (CEST)";"19";"5";"2017";"9";"56";"1296";"7410";"";"";"0469B0921D4E80";"UNKNOWN"
"VDP";"";"81 RUE DE ROME";"81 RUE DE ROME-0";"TE";"21";"Lafon Technologies";"Mon May 01 2017 20:18:07 GMT+0200 (CEST)";"1";"5";"2017";"20";"18";"Tue May 02 2017 07:59:23 GMT+0200 (CEST)";"2";"5";"2017";"7";"59";"42076";"13686";"";"";"04E108821D4E84";"UNKNOWN"
"VDP";"";"81 RUE DE ROME";"81 RUE DE ROME-0";"TE";"15";"Lafon Technologies";"Wed May 03 2017 06:58:39 GMT+0200 (CEST)";"3";"5";"2017";"6";"58";"Wed May 03 2017 08:37:55 GMT+0200 (CEST)";"3";"5";"2017";"8";"37";"5956";"3254";"";"";"04D3D7821D4E80";"UNKNOWN"
"VDP";"";"81 RUE DE ROME";"81 RUE DE ROME-0";"TE";"15";"Lafon Technologies";"Tue May 02 2017 12:28:24 GMT+0200 (CEST)";"2";"5";"2017";"12";"28";"Tue May 02 2017 14:05:48 GMT+0200 (CEST)";"2";"5";"2017";"14";"5";"5844";"4904";"";"";"0476E1821D4E80";"UNKNOWN"
"VDP";"";"81 RUE DE ROME";"81 RUE DE ROME-0";"CHAdeMO";"32";"Lafon Technologies";"Wed May 03 2017 13:34:29 GMT+0200 (CEST)";"3";"5";"2017";"13";"34";"Wed May 03 2017 13:36:13 GMT+0200 (CEST)";"3";"5";"2017";"13";"36";"104";"0";"";"";"04D6AF821D4E80";"UNKNOWN"
"VDP";"";"81 RUE DE ROME";"81 RUE DE ROME-0";"T2";"33";"Lafon Technologies";"Fri May 05 2017 13:54:37 GMT+0200 (CEST)";"5";"5";"2017";"13";"54";"Fri May 05 2017 14:44:39 GMT+0200 (CEST)";"5";"5";"2017";"14";"44";"3002";"9788";"Badge";"AAAAAAAA";"AAAAAAAA";"UNKNOWN"
"VDP";"";"81 RUE DE ROME";"81 RUE DE ROME-0";"CHAdeMO";"12";"Lafon Technologies";"Sat May 06 2017 17:59:36 GMT+0200 (CEST)";"6";"5";"2017";"17";"59";"Sat May 06 2017 18:11:00 GMT+0200 (CEST)";"6";"5";"2017";"18";"11";"684";"3306";"";"";"04893F7AAA4880";"UNKNOWN"
"VDP";"";"81 RUE DE ROME";"81 RUE DE ROME-0";"T3";"34";"Lafon Technologies";"Fri May 26 2017 10:50:42 GMT+0200 (CEST)";"26";"5";"2017";"10";"50";"Fri May 26 2017 10:59:22 GMT+0200 (CEST)";"26";"5";"2017";"10";"59";"520";"1383";"";"";"04C2F99AAB4880";"UNKNOWN"
"VDP";"";"81 RUE DE ROME";"81 RUE DE ROME-0";"T3";"34";"Lafon Technologies";"Tue May 23 2017 14:59:58 GMT+0200 (CEST)";"23";"5";"2017";"14";"59";"Tue May 23 2017 15:50:16 GMT+0200 (CEST)";"23";"5";"2017";"15";"50";"3018";"14176";"";"";"0457D5821D4E80";"UNKNOWN"
