"Start","End","Day","Weekend","Arrival","Charge.Duration","Park.Duration","Energy"
2018-01-02 00:49:00,2018-01-02 02:52:00,"Tuesday",0,0.82,122.733333333333,123.033333333333,6.504
2018-01-02 15:52:00,2018-01-02 16:16:00,"Tuesday",0,15.87,24.3166666666667,24.5666666666667,2.481
2018-01-03 04:11:00,2018-01-03 13:23:00,"Wednesday",0,4.18,220.866666666667,552.35,15.046
2018-01-03 16:19:00,2018-01-03 18:14:00,"Wednesday",0,16.32,114.483333333333,114.85,6.947
2018-01-03 21:13:00,2018-01-03 21:30:00,"Wednesday",0,21.22,16.7333333333333,16.9666666666667,1.8
2018-01-03 21:37:00,2018-01-03 22:01:00,"Wednesday",0,21.62,23.95,24.3666666666667,2.48
2018-01-04 19:21:00,2018-01-04 20:46:00,"Thursday",0,19.35,84.4,84.5833333333333,8.165
2018-01-04 20:36:00,2018-01-05 00:55:00,"Thursday",0,20.6,233.6,259.766666666667,14.109
2018-01-04 23:01:00,2018-01-04 23:48:00,"Thursday",0,23.02,47.05,47.3666666666667,2.811
2018-01-05 03:16:00,2018-01-05 14:24:00,"Friday",0,3.27,243.65,668.283333333333,16.744
2018-01-05 04:11:00,2018-01-05 04:52:00,"Friday",0,4.18,41.3333333333333,41.7,3.476
2018-01-05 21:00:00,2018-01-05 21:24:00,"Friday",0,21,24.5166666666667,24.7166666666667,0.653
2018-01-05 23:24:00,2018-01-06 00:02:00,"Friday",0,23.4,37.55,37.9166666666667,2.303
2018-01-06 14:49:00,2018-01-06 16:12:00,"Saturday",1,14.82,81.75,82.0666666666667,4.642
2018-01-06 15:21:00,2018-01-06 16:29:00,"Saturday",1,15.35,67.3166666666667,67.6333333333333,4.169
2018-01-06 16:45:00,2018-01-06 17:17:00,"Saturday",1,16.75,13.9333333333333,31.45,0.696
2018-01-06 16:52:00,2018-01-06 23:20:00,"Saturday",1,16.87,200.55,388.016666666667,10.224
2018-01-06 21:55:00,2018-01-07 00:09:00,"Saturday",1,21.92,133.85,134.066666666667,11.134
2018-01-06 23:23:00,2018-01-06 23:54:00,"Saturday",1,23.38,31.0833333333333,31.4333333333333,1.855
2018-01-07 16:46:00,2018-01-07 17:59:00,"Sunday",1,16.77,72.45,72.75,2.928
2018-01-07 18:51:00,2018-01-07 21:09:00,"Sunday",1,18.85,137.616666666667,137.95,8.501
2018-01-07 21:23:00,2018-01-07 23:56:00,"Sunday",1,21.38,152.833333333333,153.033333333333,13.939
2018-01-07 23:02:00,2018-01-08 00:14:00,"Sunday",1,23.03,71.9166666666667,72.2833333333333,5.244
2018-01-08 17:29:00,2018-01-09 16:33:00,"Monday",0,17.48,115.783333333333,1384.21666666667,3.871
2018-01-08 18:37:00,2018-01-08 22:16:00,"Monday",0,18.62,218.55,218.783333333333,20.589
2018-01-09 15:47:00,2018-01-09 17:26:00,"Tuesday",0,15.78,57.75,99.1,3.189
2018-01-09 17:45:00,2018-01-09 23:06:00,"Tuesday",0,17.75,320.516666666667,321.116666666667,33.139
2018-01-09 18:21:00,2018-01-09 21:43:00,"Tuesday",0,18.35,119.1,202.133333333333,2.797
2018-01-09 18:27:00,2018-01-09 19:49:00,"Tuesday",0,18.45,81.75,82,2.44
2018-01-09 21:24:00,2018-01-10 14:35:00,"Tuesday",0,21.4,48.9833333333333,1031.41666666667,0.914
2018-01-09 22:23:00,2018-01-09 23:19:00,"Tuesday",0,22.38,55.45,55.7166666666667,3.323
2018-01-10 16:06:00,2018-01-10 18:16:00,"Wednesday",0,16.1,129.566666666667,129.85,6.531
2018-01-10 16:20:00,2018-01-11 14:46:00,"Wednesday",0,16.33,55.4,1346.26666666667,1.188
2018-01-10 19:29:00,2018-01-10 20:00:00,"Wednesday",0,19.48,30.7333333333333,31,3.203
