"Start","End","Day","Weekend","Arrival","Park.Duration","Energy"
2017-01-09 00:11:00,2017-01-09 00:48:00,"Monday",0,0.18,37,20.53
2017-01-09 00:40:00,2017-01-09 01:11:00,"Monday",0,0.67,31,9.27
2017-01-09 01:02:00,2017-01-09 01:12:00,"Monday",0,1.03,10,5.11
2017-01-09 01:12:00,2017-01-09 01:49:00,"Monday",0,1.2,37,14.14
2017-01-09 01:15:00,2017-01-09 01:18:00,"Monday",0,1.25,3,1.83
2017-01-09 01:29:00,2017-01-09 01:46:00,"Monday",0,1.48,17,8.98
2017-01-09 01:48:00,2017-01-09 02:19:00,"Monday",0,1.8,31,15.21
2017-01-09 02:28:00,2017-01-09 02:53:00,"Monday",0,2.47,25,10.82
2017-01-09 05:33:00,2017-01-09 06:12:00,"Monday",0,5.55,39,13.44
2017-01-09 06:12:00,2017-01-09 06:29:00,"Monday",0,6.2,17,6.79
2017-01-09 06:30:00,2017-01-09 06:39:00,"Monday",0,6.5,9,3.96
2017-01-09 06:40:00,2017-01-09 06:49:00,"Monday",0,6.67,9,2.21
2017-01-09 07:03:00,2017-01-09 08:02:00,"Monday",0,7.05,59,3.091
2017-01-09 07:20:00,2017-01-09 07:36:00,"Monday",0,7.33,16,5.84
2017-01-09 07:30:00,2017-01-09 08:03:00,"Monday",0,7.5,33,2.22
2017-01-09 07:44:00,2017-01-09 07:57:00,"Monday",0,7.73,13,5.89
2017-01-09 08:01:00,2017-01-09 08:13:00,"Monday",0,8.02,12,2.37
2017-01-09 08:02:00,2017-01-09 12:51:00,"Monday",0,8.03,289,13.85
2017-01-09 08:10:00,2017-01-09 16:23:00,"Monday",0,8.17,493,27.99
2017-01-09 08:10:00,2017-01-09 11:54:00,"Monday",0,8.17,224,12.8
2017-01-09 08:40:00,2017-01-09 17:40:00,"Monday",0,8.67,540,16.426
2017-01-09 08:55:00,2017-01-09 09:16:00,"Monday",0,8.92,21,4.93
2017-01-09 08:56:00,2017-01-09 09:36:00,"Monday",0,8.93,40,4.59
2017-01-09 09:01:00,2017-01-09 14:09:00,"Monday",0,9.02,308,2.32
2017-01-09 09:16:00,2017-01-09 09:30:00,"Monday",0,9.27,14,1.29
2017-01-09 09:20:00,2017-01-09 12:27:00,"Monday",0,9.33,187,7.93
2017-01-09 09:24:00,2017-01-09 09:36:00,"Monday",0,9.4,12,6.12
2017-01-09 09:25:00,2017-01-09 09:45:00,"Monday",0,9.42,20,9.58
2017-01-09 09:26:00,2017-01-09 10:07:00,"Monday",0,9.43,41,3.67
2017-01-09 09:30:00,2017-01-09 11:39:00,"Monday",0,9.5,129,33.245
2017-01-09 09:45:00,2017-01-09 09:54:00,"Monday",0,9.75,9,4.2
2017-01-09 09:53:00,2017-01-09 10:09:00,"Monday",0,9.88,16,2.24
2017-01-09 09:53:00,2017-01-09 11:05:00,"Monday",0,9.88,72,0.82
2017-01-09 09:57:00,2017-01-09 11:02:00,"Monday",0,9.95,65,3.804
2017-01-09 09:58:00,2017-01-09 11:31:00,"Monday",0,9.97,93,2.406
2017-01-09 10:00:00,2017-01-09 10:14:00,"Monday",0,10,14,5.68
2017-01-09 10:01:00,2017-01-09 11:39:00,"Monday",0,10.02,98,1.937
2017-01-09 10:01:00,2017-01-09 10:24:00,"Monday",0,10.02,23,9.67
2017-01-09 10:07:00,2017-01-09 10:11:00,"Monday",0,10.12,4,3.43
2017-01-09 10:12:00,2017-01-09 10:28:00,"Monday",0,10.2,16,10.41
2017-01-09 10:17:00,2017-01-09 11:36:00,"Monday",0,10.28,79,4.69
2017-01-09 10:27:00,2017-01-09 11:28:00,"Monday",0,10.45,61,9.36
2017-01-09 10:30:00,2017-01-09 10:47:00,"Monday",0,10.5,17,7.35
2017-01-09 10:30:00,2017-01-09 10:38:00,"Monday",0,10.5,8,2.68
2017-01-09 10:32:00,2017-01-09 10:45:00,"Monday",0,10.53,13,1.36
2017-01-09 10:43:00,2017-01-09 15:52:00,"Monday",0,10.72,309,1.26
2017-01-09 10:48:00,2017-01-09 10:59:00,"Monday",0,10.8,11,5.06
2017-01-09 11:01:00,2017-01-09 11:50:00,"Monday",0,11.02,49,14.85
